ptlo,pthi,data_den,data_num,eff_data,eff_data_lo,eff_data_hi,mc_den,mc_num,eff_mc,eff_mc_lo,eff_mc_hi,sf,sf_lo,sf_hi
10,12,0,0,0.000000,0.000000,1.000000,962,641,0.666320,0.015894,0.015536,0.000000,0.000000,0.000000
12,14,2,2,1.000000,0.601691,0.000000,2203,1914,0.868815,0.007592,0.007247,1.150993,0.692609,0.010058
14,16,12,9,0.750000,0.184903,0.132709,4764,4457,0.935558,0.003757,0.003569,0.801660,0.197662,0.141886
16,18,108,97,0.898148,0.037950,0.029457,9783,9361,0.956864,0.002153,0.002058,0.938637,0.039712,0.030857
18,20,145,129,0.889655,0.032474,0.026414,18267,17517,0.958942,0.001521,0.001470,0.927746,0.033894,0.027584
20,22,137,121,0.883212,0.034208,0.027900,29476,28173,0.955795,0.001230,0.001199,0.924060,0.035809,0.029214
22,25,247,224,0.906883,0.022340,0.018694,64517,61515,0.953470,0.000844,0.000830,0.951139,0.023445,0.019624
25,27.5,229,218,0.951965,0.018635,0.014090,68579,65590,0.956415,0.000794,0.000780,0.995347,0.019501,0.014756
27.5,30,266,255,0.958647,0.016121,0.012151,81665,78438,0.960485,0.000694,0.000682,0.998086,0.016799,0.012672
30,32.5,260,249,0.957692,0.016482,0.012428,94397,91251,0.966673,0.000595,0.000585,0.990710,0.017060,0.012871
32.5,35,309,294,0.951456,0.015527,0.012225,105769,102726,0.971230,0.000523,0.000514,0.979641,0.015995,0.012598
35,37.5,289,284,0.982699,0.011535,0.007453,113856,110945,0.974433,0.000476,0.000468,1.008483,0.011847,0.007665
37.5,40,289,283,0.979239,0.012195,0.008205,110424,107850,0.976690,0.000463,0.000454,1.002610,0.012495,0.008414
40,45,387,380,0.981912,0.009607,0.006647,140631,137716,0.979272,0.000387,0.000380,1.002696,0.009818,0.006799
45,50,183,179,0.978142,0.016945,0.010432,60433,59358,0.982212,0.000554,0.000538,0.995857,0.017261,0.010636
50,60,148,146,0.986486,0.017545,0.008724,50049,49286,0.984755,0.000568,0.000548,1.001758,0.017826,0.008878
60,80,126,124,0.984127,0.020552,0.010246,32244,31875,0.988556,0.000624,0.000592,0.995520,0.020798,0.010384
80,120,92,90,0.978261,0.027954,0.014029,16783,16683,0.994042,0.000655,0.000593,0.984125,0.028128,0.014128
