ptlo,pthi,data_den,data_num,eff_data,eff_data_lo,eff_data_hi,mc_den,mc_num,eff_mc,eff_mc_lo,eff_mc_hi,sf,sf_lo,sf_hi
10,12,126,51,0.404762,0.046676,0.048316,14756,9850,0.667525,0.003923,0.003901,0.606362,0.070013,0.072469
12,14,59,49,0.830508,0.063458,0.050461,20387,17380,0.852504,0.002526,0.002491,0.974199,0.074491,0.059262
14,16,862,804,0.932715,0.009653,0.008581,26342,24527,0.931099,0.001596,0.001563,1.001736,0.010503,0.009375
16,18,3742,3283,0.877338,0.005600,0.005393,30969,29597,0.955698,0.001200,0.001171,0.918008,0.005966,0.005760
18,20,2378,2131,0.896131,0.006639,0.006295,36853,35328,0.958619,0.001064,0.001039,0.934814,0.006999,0.006648
20,22,1413,1269,0.898089,0.008696,0.008108,43012,41110,0.955780,0.001014,0.000992,0.939640,0.009151,0.008542
22,25,1331,1193,0.896319,0.009043,0.008421,77181,73591,0.953486,0.000770,0.000759,0.940044,0.009513,0.008864
25,27.5,707,662,0.936351,0.010559,0.009231,74782,71496,0.956059,0.000762,0.000750,0.979386,0.011071,0.009686
27.5,30,591,555,0.939086,0.011499,0.009887,85920,82523,0.960463,0.000676,0.000665,0.977743,0.011992,0.010317
30,32.5,465,449,0.965591,0.010683,0.008428,97462,94229,0.966828,0.000584,0.000574,0.998721,0.011065,0.008738
32.5,35,450,430,0.955556,0.011974,0.009720,108131,105020,0.971229,0.000517,0.000509,0.983862,0.012339,0.010022
35,37.5,385,378,0.981818,0.009656,0.006681,115726,112765,0.974414,0.000473,0.000464,1.007599,0.009921,0.006874
37.5,40,367,357,0.972752,0.011400,0.008416,111905,109301,0.976730,0.000459,0.000451,0.995927,0.011681,0.008629
40,45,481,472,0.981289,0.008429,0.006094,142838,139870,0.979221,0.000384,0.000378,1.002112,0.008616,0.006236
45,50,239,234,0.979079,0.013905,0.009007,61959,60860,0.982262,0.000546,0.000530,0.996760,0.014166,0.009187
50,60,202,199,0.985149,0.014236,0.008072,51998,51199,0.984634,0.000559,0.000540,1.000523,0.014468,0.008218
60,80,157,155,0.987261,0.016555,0.008224,34023,33630,0.988449,0.000609,0.000579,0.998798,0.016758,0.008343
80,120,103,101,0.980583,0.025037,0.012532,18142,18038,0.994267,0.000617,0.000560,0.986236,0.025187,0.012619
