ptlo,pthi,data_den,data_num,eff_data,eff_data_lo,eff_data_hi,mc_den,mc_num,eff_mc,eff_mc_lo,eff_mc_hi,sf,sf_lo,sf_hi
10,12,0,0,0.000000,0.000000,1.000000,1425,1412,0.990877,0.003276,0.002491,0.000000,0.000000,0.000000
12,14,3,3,1.000000,0.458648,0.000000,3091,3065,0.991588,0.001984,0.001635,1.008483,0.462541,0.002018
14,16,26,25,0.961538,0.082957,0.031839,6265,6214,0.991860,0.001301,0.001133,0.969430,0.083646,0.032126
16,18,63,61,0.968254,0.040343,0.020479,12532,12431,0.991941,0.000880,0.000798,0.976121,0.040678,0.020663
18,20,68,68,1.000000,0.026711,0.000000,23383,23192,0.991832,0.000632,0.000588,1.008236,0.026938,0.000643
20,22,108,107,0.990741,0.020969,0.007661,37446,37174,0.992736,0.000466,0.000439,0.997990,0.021127,0.007731
22,25,218,213,0.977064,0.015218,0.009872,80142,79520,0.992239,0.000323,0.000310,0.984707,0.015340,0.009954
25,27.5,234,232,0.991453,0.011162,0.005519,85047,84471,0.993227,0.000293,0.000281,0.998214,0.011241,0.005564
27.5,30,241,236,0.979253,0.013791,0.008933,98845,98101,0.992473,0.000285,0.000275,0.986680,0.013899,0.009005
30,32.5,286,284,0.993007,0.009149,0.004516,112459,111567,0.992068,0.000273,0.000265,1.000946,0.009226,0.004560
32.5,35,301,300,0.996678,0.007598,0.002749,126448,125530,0.992740,0.000247,0.000239,1.003966,0.007657,0.002780
35,37.5,343,340,0.991254,0.008435,0.004756,139407,138379,0.992626,0.000236,0.000229,0.998618,0.008500,0.004798
37.5,40,312,311,0.996795,0.007332,0.002652,137504,136557,0.993113,0.000230,0.000223,1.003707,0.007386,0.002680
40,45,379,375,0.989446,0.008266,0.005044,158543,157422,0.992929,0.000217,0.000210,0.996492,0.008328,0.005085
45,50,185,184,0.994595,0.012320,0.004472,63314,62835,0.992435,0.000360,0.000344,1.002177,0.012418,0.004521
50,60,140,134,0.957143,0.024722,0.016870,53523,53123,0.992527,0.000391,0.000372,0.964350,0.024910,0.017001
60,80,67,67,1.000000,0.027104,0.000000,33752,33501,0.992563,0.000498,0.000468,1.007492,0.027312,0.000505
80,120,59,58,0.983051,0.037897,0.014026,17319,17173,0.991570,0.000754,0.000694,0.991408,0.038225,0.014165
