ptlo,pthi,data_den,data_num,eff_data,eff_data_lo,eff_data_hi,mc_den,mc_num,eff_mc,eff_mc_lo,eff_mc_hi,sf,sf_lo,sf_hi
10,12,65,63,0.969231,0.039146,0.019849,23357,23169,0.991951,0.000628,0.000584,0.977095,0.039468,0.020020
12,14,42,42,1.000000,0.042888,0.000000,29568,29359,0.992932,0.000522,0.000487,1.007119,0.043196,0.000529
14,16,1137,1126,0.990325,0.003858,0.002865,35887,35650,0.993396,0.000456,0.000427,0.996909,0.003907,0.002920
16,18,1454,1434,0.986245,0.003781,0.003037,42552,42243,0.992738,0.000435,0.000412,0.993459,0.003831,0.003090
18,20,825,813,0.985455,0.005472,0.004124,49349,48967,0.992259,0.000415,0.000395,0.993142,0.005528,0.004177
20,22,554,547,0.987365,0.006740,0.004648,56030,55612,0.992540,0.000382,0.000364,0.994786,0.006800,0.004699
22,25,604,590,0.976821,0.007873,0.006082,96708,95971,0.992379,0.000290,0.000280,0.984323,0.007938,0.006135
25,27.5,411,409,0.995134,0.006382,0.003143,93116,92464,0.992998,0.000284,0.000273,1.002151,0.006433,0.003178
27.5,30,340,330,0.970588,0.012286,0.009080,104191,103412,0.992523,0.000277,0.000267,0.977900,0.012382,0.009152
30,32.5,345,342,0.991304,0.008386,0.004729,116221,115305,0.992118,0.000268,0.000259,0.999179,0.008457,0.004774
32.5,35,357,355,0.994398,0.007341,0.003618,129431,128481,0.992660,0.000245,0.000237,1.001750,0.007399,0.003653
35,37.5,370,367,0.991892,0.007824,0.004410,141612,140563,0.992592,0.000235,0.000228,0.999294,0.007886,0.004449
37.5,40,327,326,0.996942,0.006997,0.002530,139250,138289,0.993099,0.000229,0.000222,1.003870,0.007049,0.002558
40,45,414,410,0.990338,0.007574,0.004618,161155,160008,0.992883,0.000216,0.000209,0.997437,0.007631,0.004657
45,50,202,201,0.995050,0.011291,0.004096,65082,64591,0.992456,0.000355,0.000339,1.002614,0.011382,0.004142
50,60,153,146,0.954248,0.023774,0.016721,55708,55290,0.992497,0.000384,0.000366,0.961463,0.023957,0.016851
60,80,77,77,1.000000,0.023626,0.000000,35775,35515,0.992732,0.000477,0.000449,1.007321,0.023804,0.000484
80,120,69,68,0.985507,0.032537,0.011992,19008,18854,0.991898,0.000704,0.000650,0.993557,0.032809,0.012111
