charge,ybin,etaCM_center,etaCM_halfwidth,r,rErr,sigma_gen_fid_nb,sigma_meas_nb,sigma_meas_err_nb
Wp,0,-2.5466,0.2000,0.90519,0.06788,3.82992,3.46682,0.25996
Wp,1,-2.1466,0.2000,1.06503,0.07187,4.11526,4.38287,0.29575
Wp,2,-1.7466,0.2000,1.08113,0.07085,4.21736,4.55951,0.29881
Wp,3,-1.3466,0.2000,0.90516,0.06178,4.26553,3.86099,0.26354
Wp,4,-0.9466,0.2000,1.04987,0.06571,4.24509,4.45679,0.27895
Wp,5,-0.5466,0.2000,1.07032,0.06724,4.20681,4.50263,0.28285
Wp,6,-0.1466,0.2000,1.04936,0.06624,4.16178,4.36720,0.27567
Wp,7,0.2534,0.2000,1.24074,0.07418,4.15946,5.16081,0.30855
Wp,8,0.6534,0.2000,1.04414,0.06733,4.16871,4.35271,0.28067
Wp,9,1.0534,0.2000,1.05302,0.07163,4.11862,4.33698,0.29502
Wp,10,1.4534,0.2000,1.21012,0.07692,4.17102,5.04743,0.32084
Wp,11,1.8534,0.2000,1.09593,0.07577,4.11051,4.50483,0.31146
Wm,0,-2.5466,0.2000,0.92901,0.07347,3.37806,3.13824,0.24819
Wm,1,-2.1466,0.2000,0.99748,0.07278,3.48235,3.47356,0.25343
Wm,2,-1.7466,0.2000,1.09307,0.07713,3.58087,3.91414,0.27618
Wm,3,-1.3466,0.2000,1.00472,0.06961,3.61399,3.63104,0.25156
Wm,4,-0.9466,0.2000,0.92572,0.06483,3.60000,3.33258,0.23338
Wm,5,-0.5466,0.2000,1.02455,0.06911,3.57101,3.65868,0.24680
Wm,6,-0.1466,0.2000,1.11743,0.07368,3.47388,3.88181,0.25597
Wm,7,0.2534,0.2000,1.12883,0.07539,3.36407,3.79746,0.25361
Wm,8,0.6534,0.2000,1.23367,0.08277,3.20393,3.95260,0.26519
Wm,9,1.0534,0.2000,1.16869,0.08617,2.99861,3.50445,0.25840
Wm,10,1.4534,0.2000,1.23217,0.09163,2.76580,3.40793,0.25344
Wm,11,1.8534,0.2000,1.24760,0.09986,2.56313,3.19776,0.25596
Wp,incl,,,1.06489,0.03754,49.77006,52.99959,1.86854
Wm,incl,,,1.08321,0.03915,39.59569,42.89025,1.55029
W,incl,,,1.07300,0.03517,89.36575,95.88985,3.14302
