flavour,charge,ybin,etaCM_center,etaCM_halfwidth,dsigma_gen,dsigma_reco,dsigma_r_gen,dsigma_r_gen_err,dsigma_r_reco,dsigma_r_reco_err,AxEps
mu,Wp,0,-2.5466,0.2000,9.57481,8.98645,9.04378,0.76532,8.48806,0.71829,0.93855
mu,Wp,1,-2.1466,0.2000,10.28815,9.63474,11.32591,0.89153,10.60659,0.83491,0.93649
mu,Wp,2,-1.7466,0.2000,10.54340,9.86320,11.93587,0.90448,11.16584,0.84613,0.93549
mu,Wp,3,-1.3466,0.2000,10.66383,9.79515,10.10392,0.77084,9.28085,0.70805,0.91854
mu,Wp,4,-0.9466,0.2000,10.61272,9.78742,11.67409,0.83736,10.76626,0.77225,0.92223
mu,Wp,5,-0.5466,0.2000,10.51702,9.36429,11.65181,0.84997,10.37469,0.75681,0.89039
mu,Wp,6,-0.1466,0.2000,10.40444,9.26151,11.07115,0.82866,9.85499,0.73763,0.89015
mu,Wp,7,0.2534,0.2000,10.39866,9.53067,13.37486,0.99192,12.25844,0.90912,0.91653
mu,Wp,8,0.6534,0.2000,10.42177,9.49440,11.31731,0.90960,10.31025,0.82866,0.91102
mu,Wp,9,1.0534,0.2000,10.29654,9.45731,11.81723,1.00660,10.85406,0.92456,0.91849
mu,Wp,10,1.4534,0.2000,10.42754,9.66965,13.24475,1.14250,12.28210,1.05946,0.92732
mu,Wp,11,1.8534,0.2000,10.27627,9.53332,11.52750,1.09023,10.69409,1.01141,0.92770
mu,Wm,0,-2.5466,0.2000,8.44515,7.85636,7.83510,0.70051,7.28885,0.65167,0.93028
mu,Wm,1,-2.1466,0.2000,8.70588,8.14323,8.99640,0.74295,8.41497,0.69493,0.93537
mu,Wm,2,-1.7466,0.2000,8.95218,8.27649,10.25221,0.81050,9.47841,0.74933,0.92452
mu,Wm,3,-1.3466,0.2000,9.03496,8.32706,9.55240,0.74626,8.80395,0.68779,0.92165
mu,Wm,4,-0.9466,0.2000,8.99999,8.33223,8.70803,0.68615,8.06193,0.63524,0.92580
