charge,ybin,etaCM_center,etaCM_halfwidth,r,rErr,sigma_gen_fid_nb,sigma_meas_nb,sigma_meas_err_nb
Wp,0,-2.5466,0.2000,0.83062,0.06026,3.82992,3.18121,0.23080
Wp,1,-2.1466,0.2000,0.90939,0.06142,4.11526,3.74238,0.25277
Wp,2,-1.7466,0.2000,1.01200,0.06377,4.21736,4.26797,0.26895
Wp,3,-1.3466,0.2000,0.87011,0.05781,4.26553,3.71150,0.24659
Wp,4,-0.9466,0.2000,1.00925,0.06183,4.24509,4.28435,0.26248
Wp,5,-0.5466,0.2000,1.03539,0.06300,4.20681,4.35569,0.26501
Wp,6,-0.1466,0.2000,1.04195,0.06372,4.16178,4.33636,0.26520
Wp,7,0.2534,0.2000,1.21141,0.06759,4.15946,5.03882,0.28115
Wp,8,0.6534,0.2000,1.05022,0.06448,4.16871,4.37806,0.26881
Wp,9,1.0534,0.2000,1.05542,0.06684,4.11862,4.34687,0.27527
Wp,10,1.4534,0.2000,1.11649,0.06642,4.17102,4.65690,0.27703
Wp,11,1.8534,0.2000,0.98695,0.06571,4.11051,4.05686,0.27010
Wm,0,-2.5466,0.2000,0.72609,0.06246,3.37806,2.45278,0.21098
Wm,1,-2.1466,0.2000,0.89816,0.06452,3.48235,3.12771,0.22469
Wm,2,-1.7466,0.2000,1.06621,0.07129,3.58087,3.81796,0.25529
Wm,3,-1.3466,0.2000,0.96054,0.06458,3.61399,3.47137,0.23337
Wm,4,-0.9466,0.2000,0.91183,0.06137,3.60000,3.28257,0.22092
Wm,5,-0.5466,0.2000,1.00950,0.06478,3.57101,3.60493,0.23134
Wm,6,-0.1466,0.2000,1.08207,0.06757,3.47388,3.75898,0.23471
Wm,7,0.2534,0.2000,1.08034,0.06947,3.36407,3.63434,0.23370
Wm,8,0.6534,0.2000,1.19635,0.07570,3.20393,3.83303,0.24253
Wm,9,1.0534,0.2000,1.06016,0.07795,2.99861,3.17901,0.23375
Wm,10,1.4534,0.2000,1.09598,0.07980,2.76580,3.03126,0.22071
Wm,11,1.8534,0.2000,0.96813,0.08396,2.56313,2.48146,0.21520
Wp,incl,,,1.01179,0.01838,49.77006,50.35697,0.91477
Wm,incl,,,1.00201,0.02013,39.59569,39.67540,0.79716
W,incl,,,1.00746,0.01358,89.36575,90.03236,1.21373
