flavour,charge,ybin,etaCM_center,etaCM_halfwidth,dsigma_gen,dsigma_reco,dsigma_r_gen,dsigma_r_gen_err,dsigma_r_reco,dsigma_r_reco_err,AxEps
mu,Wp,0,-2.5466,0.2000,9.57481,9.21779,7.95303,0.57701,7.65648,0.55550,0.96271
mu,Wp,1,-2.1466,0.2000,10.28815,9.90673,9.35596,0.63192,9.00910,0.60850,0.96293
mu,Wp,2,-1.7466,0.2000,10.54340,10.16481,10.66992,0.67237,10.28678,0.64823,0.96409
mu,Wp,3,-1.3466,0.2000,10.66383,9.12875,9.27875,0.61647,7.94305,0.52773,0.85605
mu,Wp,4,-0.9466,0.2000,10.61272,8.94403,10.71088,0.65621,9.02676,0.55303,0.84277
mu,Wp,5,-0.5466,0.2000,10.51702,8.48533,10.88922,0.66253,8.78562,0.53454,0.80682
mu,Wp,6,-0.1466,0.2000,10.40444,8.40354,10.84090,0.66300,8.75607,0.53550,0.80769
mu,Wp,7,0.2534,0.2000,10.39866,8.71888,12.59704,0.70286,10.56214,0.58932,0.83846
mu,Wp,8,0.6534,0.2000,10.42177,8.86269,10.94515,0.67202,9.30777,0.57149,0.85040
mu,Wp,9,1.0534,0.2000,10.29654,9.85989,10.86717,0.68817,10.40632,0.65899,0.95759
mu,Wp,10,1.4534,0.2000,10.42754,10.09034,11.64225,0.69257,11.26577,0.67017,0.96766
mu,Wp,11,1.8534,0.2000,10.27627,9.91424,10.14214,0.67525,9.78484,0.65146,0.96477
mu,Wm,0,-2.5466,0.2000,8.44515,8.11794,6.13196,0.52746,5.89438,0.50702,0.96126
mu,Wm,1,-2.1466,0.2000,8.70588,8.42116,7.81927,0.56172,7.56355,0.54335,0.96730
mu,Wm,2,-1.7466,0.2000,8.95218,8.58580,9.54490,0.63823,9.15426,0.61211,0.95907
mu,Wm,3,-1.3466,0.2000,9.03496,8.43143,8.67843,0.58343,8.09872,0.54446,0.93320
mu,Wm,4,-0.9466,0.2000,8.99999,8.50104,8.20643,0.55231,7.75147,0.52169,0.94456
mu,Wm,5,-0.5466,0.2000,8.92752,8.14893,9.01233,0.57834,8.22635,0.52790,0.91279
mu,Wm,6,-0.1466,0.2000,8.68469,7.98392,9.39744,0.58678,8.63916,0.53944,0.91931
mu,Wm,7,0.2534,0.2000,8.41017,7.87708,9.08585,0.58424,8.50992,0.54721,0.93661
mu,Wm,8,0.6534,0.2000,8.00984,7.38014,9.58257,0.60632,8.82923,0.55866,0.92138
mu,Wm,9,1.0534,0.2000,7.49652,7.28242,7.94752,0.58437,7.72054,0.56768,0.97144
mu,Wm,10,1.4534,0.2000,6.91449,6.65545,7.57814,0.55178,7.29424,0.53111,0.96254
mu,Wm,11,1.8534,0.2000,6.40783,6.14334,6.20365,0.53800,5.94758,0.51579,0.95872
mu,W,0,-2.5466,0.2000,18.01996,17.33574,14.08499,0.78214,13.55087,0.75245,0.96203
mu,W,1,-2.1466,0.2000,18.99403,18.32790,17.17523,0.84563,16.57266,0.81592,0.96493
mu,W,2,-1.7466,0.2000,19.49558,18.75060,20.21482,0.92709,19.44105,0.89159,0.96179
mu,W,3,-1.3466,0.2000,19.69880,17.56018,17.95718,0.84878,16.04177,0.75824,0.89143
mu,W,4,-0.9466,0.2000,19.61271,17.44507,18.91731,0.85771,16.77823,0.76027,0.88948
mu,W,5,-0.5466,0.2000,19.44454,16.63426,19.90155,0.87947,17.01197,0.75130,0.85547
mu,W,6,-0.1466,0.2000,19.08913,16.38746,20.23835,0.88539,17.39523,0.76011,0.85847
mu,W,7,0.2534,0.2000,18.80884,16.59596,21.68289,0.91398,19.07206,0.80421,0.88235
mu,W,8,0.6534,0.2000,18.43160,16.24283,20.52772,0.90512,18.13700,0.79919,0.88125
mu,W,9,1.0534,0.2000,17.79306,17.14231,18.81469,0.90285,18.12686,0.86982,0.96343
mu,W,10,1.4534,0.2000,17.34203,16.74580,19.22039,0.88561,18.56001,0.85521,0.96562
mu,W,11,1.8534,0.2000,16.68410,16.05758,16.34579,0.86366,15.73242,0.83121,0.96245
ele,Wp,0,-2.5466,0.2000,9.57481,7.48324,7.95303,0.57701,6.21573,0.45097,0.78155
ele,Wp,1,-2.1466,0.2000,10.28815,8.02448,9.35596,0.63192,7.29740,0.49288,0.77997
ele,Wp,2,-1.7466,0.2000,10.54340,6.59003,10.66992,0.67237,6.66911,0.42026,0.62504
ele,Wp,3,-1.3466,0.2000,10.66383,8.19316,9.27875,0.61647,7.12898,0.47364,0.76831
